,id,brand,title,sold_price,actual_price,url,img
0,1,Vaidehi Fashion,"Embroidered Bollywood Silk Blend, Vichitra Saree",₹939,"₹8,599",https://www.flipkart.com/vaidehi-fashion-embroidered-bollywood-silk-blend-vichitra-saree/p/itmde2db8666a0d7?pid=SARFZ3ZFD2ZDQSR7&lid=LSTSARFZ3ZFD2ZDQSR776JKHJ&marketplace=FLIPKART&store=clo&srno=b_1_1&otracker=nmenu_sub_Women_0_Clothing&fm=organic&iid=en_yQSUlydkMKozHjLRZLNoEvnPDdBSSQzBxSssNfggb0JXEbCK%2FXMbeNfV6WIoAkigkrcSBvlHvaQHSO1YJEVVDA%3D%3D&ppt=None&ppn=None&ssid=19xboq649c0000001652876815145,https://rukminim2.flixcart.com/image/612/612/kjkbv680-0/sari/e/s/t/free-wedding-sarees-vaidehi-fashion-unstitched-original-imafz3zfpjpnrqrn.jpeg?q=70
1,2,Great Label Lifestyle,Embroidered Banarasi Silk Blend Saree,₹439,"₹1,999",https://www.flipkart.com/great-label-lifestyle-embroidered-banarasi-silk-blend-saree/p/itm0426d841efdb2?pid=SARG3Y38AY93Z6F4&lid=LSTSARG3Y38AY93Z6F4RDUFHR&marketplace=FLIPKART&store=clo&srno=b_1_2&otracker=nmenu_sub_Women_0_Clothing&fm=organic&iid=en_yQSUlydkMKozHjLRZLNoEvnPDdBSSQzBxSssNfggb0KxEUEGuTcyIFQxNroLuv3tN7cbvzrG%2FuD8hTGSz4AzOg%3D%3D&ppt=None&ppn=None&ssid=19xboq649c0000001652876815145,https://rukminim2.flixcart.com/image/612/612/kpsnzww0/sari/x/a/e/free-jacquard-mukut-red-great-label-lifestyle-unstitched-original-imag3y37bcpcza8h.jpeg?q=70
2,3,CHILEELIFE,Women Bralette Non Padded Bra,₹135,₹899,https://www.flipkart.com/chileelife-women-bralette-non-padded-bra/p/itm6a78c88ebe1c2?pid=BRAFXQAKGFYMBE9G&lid=LSTBRAFXQAKGFYMBE9GYFURGF&marketplace=FLIPKART&store=clo&srno=b_1_3&otracker=nmenu_sub_Women_0_Clothing&fm=organic&iid=f39ef393-e05d-4323-8959-1a0a0ed17cbf.BRAFXQAKGFYMBE9G.SEARCH&ppt=None&ppn=None&ssid=19xboq649c0000001652876815145,https://rukminim2.flixcart.com/image/612/612/khtghow0-0/bra/l/4/b/non-padded-32b-regular-no-regular-cl-anju-c3-04-35-01b-original-imafxqakdqvezmhx.jpeg?q=70
3,4,ADDYVERO,Regular Fit Women Black Cotton Blend Trousers,₹321,"₹1,699",https://www.flipkart.com/addyvero-regular-fit-women-black-trousers/p/itmdfe8b3d718721?pid=TROFPJ8BHGHMG8ER&lid=LSTTROFPJ8BHGHMG8ERJI5K58&marketplace=FLIPKART&store=clo&srno=b_1_4&otracker=nmenu_sub_Women_0_Clothing&fm=organic&iid=f39ef393-e05d-4323-8959-1a0a0ed17cbf.TROFPJ8BHGHMG8ER.SEARCH&ppt=None&ppn=None&ssid=19xboq649c0000001652876815145,https://rukminim2.flixcart.com/image/612/612/kfoapow0-0/trouser/4/p/e/28-cl-wm-l0729-addyvero-original-imafw2jwjvhyds6f.jpeg?q=70
4,5,Cartyshop,"Embellished Fashion Georgette, Pure Silk Saree",₹380,"₹3,999",https://www.flipkart.com/cartyshop-embellished-fashion-georgette-pure-silk-saree/p/itmbd04f661f04e3?pid=SARG5SYYPKRCZFCV&lid=LSTSARG5SYYPKRCZFCVR2MPUI&marketplace=FLIPKART&store=clo&srno=b_1_5&otracker=nmenu_sub_Women_0_Clothing&fm=organic&iid=f39ef393-e05d-4323-8959-1a0a0ed17cbf.SARG5SYYPKRCZFCV.SEARCH&ppt=None&ppn=None&ssid=19xboq649c0000001652876815145,https://rukminim2.flixcart.com/image/612/612/krkyt8w0/sari/y/p/v/free-wedding-saree-ecolors-fab-unstitched-original-imag5c8efuhrjz9t.jpeg?q=70
5,6,ksevencreation,Printed Fashion Lycra Blend Saree,₹270,"₹2,398",https://www.flipkart.com/ksevencreation-printed-fashion-lycra-blend-saree/p/itm427a9823048c1?pid=SARFWSMFBMJJ66X8&lid=LSTSARFWSMFBMJJ66X8GC52N2&marketplace=FLIPKART&store=clo&srno=b_1_6&otracker=nmenu_sub_Women_0_Clothing&fm=organic&iid=f39ef393-e05d-4323-8959-1a0a0ed17cbf.SARFWSMFBMJJ66X8.SEARCH&ppt=None&ppn=None&ssid=19xboq649c0000001652876815145,https://rukminim2.flixcart.com/image/612/612/kflftzk0-0/sari/o/y/c/free-hitesh2series-fumvel-unstitched-original-imafwypg4fwky3a7.jpeg?q=70
6,7,RHEY,Printed Daily Wear Chiffon Saree,₹335,"₹1,999",https://www.flipkart.com/rhey-printed-daily-wear-chiffon-saree/p/itma4a786a8f5960?pid=SARFSS4HDBSNR2RH&lid=LSTSARFSS4HDBSNR2RHQF8ZKZ&marketplace=FLIPKART&store=clo&srno=b_1_7&otracker=nmenu_sub_Women_0_Clothing&fm=organic&iid=f39ef393-e05d-4323-8959-1a0a0ed17cbf.SARFSS4HDBSNR2RH.SEARCH&ppt=None&ppn=None&ssid=19xboq649c0000001652876815145,https://rukminim2.flixcart.com/image/612/612/kbgu1e80/sari/2/r/h/free-box04bn-rhey-unstitched-original-imafssh49zejvhpx.jpeg?q=70
7,8,Shaily Retails,Floral Print Fashion Georgette Saree,₹270,"₹1,500",https://www.flipkart.com/shaily-retails-floral-print-fashion-georgette-saree/p/itmb84dc18d6b191?pid=SARESBGRFVA8B4WZ&lid=LSTSARESBGRFVA8B4WZJC2JEG&marketplace=FLIPKART&store=clo&srno=b_1_8&otracker=nmenu_sub_Women_0_Clothing&fm=organic&iid=en_yQSUlydkMKozHjLRZLNoEvnPDdBSSQzBxSssNfggb0Jvfr8KjrbFOyunfPEkEibzxDg47dE5LJJvTWMVtrmu0Q%3D%3D&ppt=None&ppn=None&ssid=19xboq649c0000001652876815145,https://rukminim2.flixcart.com/image/612/612/kwnv6a80/sari/p/t/3/free-siya-9006-shaily-retails-unstitched-original-imag9acsdgxtbysz.jpeg?q=70
8,9,LAHEJA,"Embellished, Geometric Print Bandhani Silk Blend Saree",₹339,"₹1,999",https://www.flipkart.com/laheja-embellished-geometric-print-bandhani-silk-blend-saree/p/itmca111e0f14e5b?pid=SARG2GYUGWRAZBVM&lid=LSTSARG2GYUGWRAZBVMNIZ3BB&marketplace=FLIPKART&store=clo&srno=b_1_9&otracker=nmenu_sub_Women_0_Clothing&fm=organic&iid=f39ef393-e05d-4323-8959-1a0a0ed17cbf.SARG2GYUGWRAZBVM.SEARCH&ppt=None&ppn=None&ssid=19xboq649c0000001652876815145,https://rukminim2.flixcart.com/image/612/612/knxiavk0/sari/n/o/r/free-grey-lf-1001-laheja-unstitched-original-imag2gyqbphsgscd.jpeg?q=70
9,10,Fab Star,Casual Regular Sleeves Solid Women Pink Top,₹319,"₹1,399",https://www.flipkart.com/fab-star-casual-3-4-sleeve-solid-women-pink-top/p/itm37cd1a6030668?pid=TOPFZNZYBU2FWMZK&lid=LSTTOPFZNZYBU2FWMZKFOPSLI&marketplace=FLIPKART&store=clo&srno=b_1_10&otracker=nmenu_sub_Women_0_Clothing&fm=organic&iid=f39ef393-e05d-4323-8959-1a0a0ed17cbf.TOPFZNZYBU2FWMZK.SEARCH&ppt=None&ppn=None&ssid=19xboq649c0000001652876815145,https://rukminim2.flixcart.com/image/612/612/klphn680/top/n/5/x/xl-regular-top-fab-star-original-imagyry2geb5ztzq.jpeg?q=70
